Accelerationx,Accelerationy,Accelerationz,Gyrox,Gyroy,Gyroz
0.134823,-0.703297,-9.748142,0.012361,-0.004465,0.001784
-0.089483,-0.75986,-9.691279,0.009793,0.004584,-0.03763
0.184503,-0.826448,-9.6413,-0.011648,0.002031,-0.023712
0.089483,-0.746093,-9.737368,0.00511,0.025596,0.013936
0.084246,-0.82181,-9.668834,-0.005094,0.037435,0.015496
0.058209,-0.704494,-9.684396,-0.010523,0.032842,0.014296
-0.011073,-0.752378,-9.719561,0.002409,-0.009465,-0.07095
0.065092,-0.780959,-9.683798,-0.006156,-0.043658,-0.114437
0.270694,-0.749086,-9.758916,-0.032301,0.022752,-0.021263
0.146346,-0.675464,-9.733627,0.003793,0.041209,0.028456
0.126444,-0.82585,-9.676166,0.010433,0.038739,0.006559
0.187047,-0.791134,-9.603592,-0.021249,0.023317,0.020939
0.063596,-0.802806,-9.683199,-0.025417,-0.007007,-0.021778
0.198419,-0.708235,-9.721656,-0.01159,0.031616,0.017661
0.122254,-0.766593,-9.670779,-0.025448,-0.010156,0.007075
0.02469,-0.650325,-9.794829,-0.015832,0.007846,-0.00657
0.136769,-0.752827,-9.672425,0.018464,0.014945,-0.001888
0.142904,-0.830189,-9.620052,-0.01929,-0.000215,0.004906
0.112976,-0.770334,-9.705046,-0.016437,-0.006906,-0.016768
0.114173,-0.773477,-9.652074,-0.004879,0.030681,0.018332
0.196624,-0.77647,-9.660005,-0.021694,0.007361,0.014035
0.097863,-0.743998,-9.755324,-0.016475,0.009654,-0.002202
0.068384,-0.68953,-9.722703,0.008177,0.029306,0.004855
0.249596,-0.831835,-9.622296,-0.027569,-0.000616,0.0251
0.062549,-0.698359,-9.725696,-0.02848,0.000324,-0.007454
0.143951,-0.665139,-9.805902,0.015322,0.000889,-0.018025
0.110881,-0.782754,-9.655516,-0.003242,0.0151,0.004065
0.150835,-0.738162,-9.720908,-0.029683,0.007311,-0.001768
0.098761,-0.717812,-9.766098,0.002271,0.012965,0.007722
0.076465,-0.785747,-9.687389,-0.007149,0.004632,-0.016641
0.231639,-0.734421,-9.743653,-0.011327,0.011281,0.012003
0.07018,-0.746692,-9.692028,0.002166,0.013891,-0.001401
0.106392,-0.815525,-9.655666,-0.01217,0.010994,0.003147
0.133477,-0.744896,-9.718813,-0.016833,0.012016,-0.010872
0.262614,-0.679055,-9.818172,0.010572,-0.000217,0.011219
0.050727,-0.749535,-9.717915,-0.002714,0.007597,-0.005819
0.183156,-0.745046,-9.743653,-0.001448,0.012394,-0.008641
0.162357,-0.77617,-9.630527,-0.017496,-0.015174,-0.010561
0.026486,-0.72664,-9.771036,0.002975,0.050255,0.035561
0.109684,-0.713023,-9.696816,0.023675,0.006343,-0.018847
0.184503,-0.818667,-9.577405,-0.034109,-0.02588,-0.029366
0.119112,-0.705242,-9.866505,0.003452,0.035424,0.070003
-0.004339,-0.773327,-9.683798,0.024741,0.018038,0.004408
0.178667,-0.800412,-9.605687,-0.02605,-0.031909,-0.024412
0.120159,-0.774524,-9.708039,-0.019102,-0.018464,-0.014433
0.172233,-0.744297,-9.796175,-0.002401,0.045365,0.026322
0.184802,-0.788141,-9.651625,-0.016847,9.9e-05,0.014521
0.008529,-0.686238,-9.781361,-0.015354,-0.015455,-0.026793
0.125097,-0.677858,-9.790788,0.018436,0.027709,0.019692
0.152331,-0.769586,-9.626037,-0.004537,-0.003436,-0.003133
0.059705,-0.779911,-9.755773,-0.011845,-0.012661,-0.012252
0.084695,-0.758064,-9.709535,0.004223,0.0156,-0.002792
0.115371,-0.788291,-9.650578,-0.00233,0.00852,-0.003119
0.15278,-0.838419,-9.673473,-0.021952,0.009406,0.00743
0.075118,-0.705242,-9.7242,-0.003738,-0.001874,-0.025472
0.116418,-0.761356,-9.689933,-0.013093,-0.03363,-0.043102
0.155473,-0.724845,-9.737218,-0.01956,0.034941,0.044443
0.133926,-0.695516,-9.698312,0.000526,-0.012288,-0.016204
0.14859,-0.781856,-9.791686,-0.011546,0.03019,0.034555
0.065392,-0.684442,-9.708637,0.012332,0.043696,0.034286
0.168791,-0.824653,-9.580398,-0.026011,-0.021761,-0.026788
0.128539,-0.660201,-9.815479,-0.007957,0.042317,0.051138
0.088436,-0.747739,-9.641151,0.016956,-0.003551,-0.027514
0.151733,-0.833481,-9.674819,-0.024693,0.004936,0.011922
0.132579,-0.736217,-9.724948,-0.003166,0.008757,-0.009047
0.102651,-0.809091,-9.70355,-0.00932,0.011143,0.010091
0.094421,-0.745644,-9.669432,-0.012918,-0.000607,-0.01482
0.106243,-0.75956,-9.758018,-0.00561,0.010245,0.011488
0.156521,-0.747141,-9.766397,-0.001568,0.005184,0.003606
