Accelerationx,Accelerationy,Accelerationz,Gyrox,Gyroy,Gyroz
0.161459,0.019902,-9.719561,-0.003816,0.008529,0.0018
0.153678,0.046388,-9.727791,-0.003382,0.008928,-0.000948
0.147842,0.030227,-9.730484,-0.008439,0.007948,0.004408
0.156371,0.03711,-9.725397,-0.00675,0.009842,0.002013
0.159514,0.033369,-9.71148,-0.005981,0.006433,0.001441
0.159514,0.034117,-9.729138,-0.005095,0.009285,0.001577
0.160412,0.029329,-9.708188,-0.006744,0.009237,-0.001437
0.150386,0.03292,-9.737368,-0.006515,0.007968,0.003691
0.150386,0.043395,-9.760711,-0.005094,0.009577,0.001007
0.14859,0.034117,-9.738715,-0.006163,0.007494,0.001055
0.154127,0.042796,-9.761908,-0.0063,0.007468,0.001062
0.153379,0.027982,-9.723302,-0.005796,0.008791,0.000623
0.162058,0.037709,-9.739463,-0.005722,0.010863,0.003274
0.164452,0.022146,-9.752332,-0.005492,0.008826,0.002152
0.16116,0.040253,-9.729587,-0.007391,0.010274,0.000587
0.160112,0.017657,-9.741857,-0.006522,0.007209,0.001526
0.15278,0.040402,-9.753678,-0.00409,0.0092,0.000564
0.166098,0.024989,-9.745897,-0.006275,0.010735,0.002253
0.15682,0.03711,-9.741707,-0.006448,0.008025,0.003562
0.154276,0.035015,-9.733627,-0.006066,0.008518,0.00038
0.160112,0.031274,-9.747693,-0.008169,0.006808,0.001044
0.154426,0.031574,-9.751434,-0.001644,0.006409,0.003684
0.156671,0.035614,-9.74066,-0.007769,0.007544,0.001559
0.157419,0.033369,-9.741258,-0.006177,0.008424,0.002119
0.157568,0.02903,-9.744101,-0.004404,0.006437,0.001282
0.147543,0.04145,-9.72839,-0.006352,0.010813,0.001389
0.153678,0.02873,-9.747842,-0.004155,0.008237,0.001745
0.155174,0.036512,-9.723302,-0.008543,0.009046,0.00165
0.153079,0.026037,-9.738116,-0.006787,0.006925,0.001043
0.152032,0.04115,-9.730036,-0.005242,0.008318,0.000425
0.146944,0.02873,-9.717765,-0.007287,0.008032,0.001705
0.150685,0.041001,-9.727492,-0.006341,0.00849,0.001006
0.147992,0.033519,-9.711331,-0.007595,0.008606,0.002703
0.16116,0.032022,-9.719711,-0.00582,0.00786,0.000821
0.150685,0.02469,-9.7239,-0.005314,0.008438,0.003731
0.149189,0.031274,-9.708188,-0.007159,0.00674,-0.00131
0.159813,0.035913,-9.735123,-0.005488,0.011247,0.000913
0.156222,0.025738,-9.710283,-0.008667,0.008363,-0.00044
0.158915,0.03726,-9.726295,-0.006189,0.008859,0.003618
0.165499,0.029928,-9.747394,-0.007639,0.009613,0.001462
0.164003,0.035464,-9.723003,-0.005688,0.008654,-2.1e-05
0.161908,0.026486,-9.74485,-0.00319,0.008896,0.001825
0.156671,0.037409,-9.766098,-0.005665,0.009073,0.001844
0.164452,0.032621,-9.752631,-0.008018,0.008618,0.003255
0.151733,0.032172,-9.747244,-0.004903,0.007234,-0.000394
0.157419,0.03307,-9.717316,-0.005185,0.009221,0.002784
0.155174,0.03292,-9.742007,-0.006049,0.006243,0.000739
0.152181,0.027833,-9.748591,-0.006255,0.007567,0.000371
0.155773,0.032771,-9.739463,-0.005765,0.008448,0.003164
0.155922,0.031574,-9.756821,-0.004095,0.008965,-0.000409
0.157568,0.028282,-9.736769,-0.006205,0.007529,0.000942
0.159663,0.038158,-9.736919,-0.005956,0.007262,-0.001418
0.152481,0.027234,-9.724349,-0.008022,0.008194,0.001896
0.151882,0.031274,-9.740809,-0.007947,0.009579,0.001761
0.157419,0.037559,-9.758167,-0.006309,0.008984,0.004131
0.164302,0.03696,-9.746496,-0.006577,0.00908,0.002776
0.154276,0.043395,-9.743802,-0.006853,0.006626,0.001972
0.153678,0.034566,-9.730933,-0.005411,0.011884,0.003043
0.155922,0.031574,-9.717466,-0.005209,0.007164,0.000862
