MagneticFieldx,MagneticFieldy,MagneticFieldz
3.252167,-102.198593,-167.158661
3.454239,-102.07016,-167.511597
3.423828,-102.181442,-167.476746
3.632065,-101.673203,-167.043808
3.600418,-101.965149,-167.166138
3.661011,-101.927048,-167.679581
3.553604,-101.652222,-167.501007
3.290039,-101.718399,-166.827026
3.340576,-101.85791,-166.952499
3.411652,-101.946289,-167.146927
3.38588,-102.088287,-167.17337
2.954834,-101.978806,-167.082733
3.320526,-101.949158,-167.306061
3.409775,-101.955032,-167.313278
3.267609,-102.442703,-166.962204
3.268188,-102.068741,-167.026962
3.082443,-102.153091,-167.516327
3.400238,-102.389481,-167.63942
3.277039,-102.398926,-167.192734
3.391739,-102.447403,-167.360626
2.97319,-102.207764,-167.569809
3.222046,-102.286407,-166.593155
2.982178,-102.365112,-167.70723
3.091171,-102.06218,-167.810867
3.019577,-102.475723,-167.554642
3.25853,-102.41127,-167.250717
3.251846,-102.474045,-167.300613
2.928436,-102.281189,-167.197205
3.236267,-102.314346,-167.515915
3.629959,-101.990753,-167.935898
2.926147,-101.950577,-167.582642
3.25853,-102.331955,-167.06897
2.955093,-102.376694,-166.879425
3.295181,-102.192657,-166.773209
3.231232,-102.173462,-166.437286
3.094238,-102.455933,-167.030792
3.054794,-102.198288,-166.808823
3.275497,-102.404495,-166.819046
3.29126,-102.375824,-167.030121
3.52507,-102.060883,-167.133926
3.151108,-102.003113,-167.107315
3.272766,-101.943893,-167.263153
3.518005,-102.275818,-167.396774
3.37056,-102.288727,-167.935287
2.929993,-102.51767,-166.956467
2.994247,-102.315781,-167.484787
2.653885,-102.565811,-167.388428
3.10701,-102.459839,-167.274429
3.148987,-102.42894,-167.632767
3.250168,-102.375076,-167.322235
3.244659,-102.384979,-167.227295
3.323456,-102.433151,-167.633133
3.314316,-102.075455,-167.361725
3.27948,-102.242264,-167.705597
3.467773,-102.333328,-167.021591
3.624969,-102.05748,-167.284851
3.400726,-102.350677,-167.702271
3.446854,-102.332611,-166.993668
3.084381,-102.58905,-167.128128
3.383224,-102.113495,-167.064468
3.620529,-101.987717,-167.116547
3.223923,-102.030777,-167.630264
3.410004,-102.337097,-167.142578
3.641235,-102.230286,-167.126709
3.619202,-102.424896,-167.022232
3.45665,-102.307251,-167.137985
3.4543,-102.034821,-166.912994
3.714813,-102.375626,-167.321533
3.469086,-102.281204,-166.659332
3.721191,-102.243286,-166.784393
